"Date","Price","Open","High","Low","Vol.","Change %"
"2019-03-17 00:00:00-04:00","49.61","51.72","51.72","39.15","","-4.08%"
"2019-03-10 00:00:00-04:00","51.72","50.30","51.88","50.05","40.08M","3.01%"
"2019-03-03 00:00:00-04:00","50.21","50.41","50.54","49.90","24.72M","-0.20%"
"2019-02-24 00:00:00-04:00","50.31","50.91","50.96","49.90","20.01M","-1.02%"
"2019-02-17 00:00:00-04:00","50.83","49.90","50.83","49.82","19.65M","1.62%"
"2019-02-10 00:00:00-04:00","50.02","49.39","50.03","49.10","20.37M","1.40%"
"2019-02-03 00:00:00-04:00","49.33","48.96","49.34","48.92","17.02M","0.47%"
"2019-01-27 00:00:00-04:00","49.10","48.93","49.15","48.49","20.59M","0.27%"
"2019-01-20 00:00:00-04:00","48.97","48.19","48.97","48.00","16.97M","1.28%"
"2019-01-13 00:00:00-04:00","48.35","48.16","48.50","47.81","18.36M","-0.10%"
"2019-01-06 00:00:00-04:00","48.40","47.52","48.62","47.51","16.28M","1.30%"
"2018-12-30 00:00:00-04:00","47.78","47.86","48.03","46.85","19.79M","0.34%"
"2018-12-23 00:00:00-04:00","47.62","46.60","48.20","46.00","18.70M","2.19%"
"2018-12-16 00:00:00-04:00","46.60","48.96","49.09","46.50","35.56M","-4.51%"
"2018-12-09 00:00:00-04:00","48.80","49.06","49.37","48.68","29.01M","-0.39%"
"2018-12-02 00:00:00-04:00","48.99","49.19","49.41","48.68","24.76M","-0.08%"
"2018-11-25 00:00:00-04:00","49.03","48.94","49.47","48.38","27.81M","0.76%"
"2018-11-18 00:00:00-04:00","48.66","47.71","49.46","47.43","29.15M","1.95%"
"2018-11-11 00:00:00-04:00","47.73","47.75","47.95","47.01","19.64M","0.04%"
"2018-11-04 00:00:00-04:00","47.71","46.44","48.16","46.13","17.00M","3.54%"
"2018-10-28 00:00:00-04:00","46.08","45.26","46.71","44.58","28.39M","2.86%"
"2018-10-21 00:00:00-04:00","44.80","45.52","45.78","44.13","27.35M","-1.60%"
"2018-10-14 00:00:00-04:00","45.53","44.99","45.77","44.88","15.84M","1.31%"
"2018-10-07 00:00:00-04:00","44.94","45.65","45.95","44.14","20.22M","-1.94%"
"2018-09-30 00:00:00-04:00","45.83","45.82","46.55","45.48","17.92M","0.02%"
"2018-09-23 00:00:00-04:00","45.82","44.04","46.00","44.04","24.05M","4.40%"
"2018-09-16 00:00:00-04:00","43.89","44.44","44.53","43.81","28.00M","-1.19%"
"2018-09-09 00:00:00-04:00","44.42","44.82","44.92","44.10","15.73M","-0.72%"
"2018-09-02 00:00:00-04:00","44.74","44.80","44.99","44.59","14.97M","-0.36%"
"2018-08-26 00:00:00-04:00","44.90","44.65","45.08","44.54","22.77M","0.72%"
"2018-08-19 00:00:00-04:00","44.58","44.83","45.05","44.52","18.62M","-0.56%"
"2018-08-12 00:00:00-04:00","44.83","45.02","45.23","44.57","19.87M","-0.20%"
"2018-08-05 00:00:00-04:00","44.92","44.85","45.58","44.58","15.74M","0.00%"
"2018-07-29 00:00:00-04:00","44.92","44.64","45.10","44.19","25.32M","0.47%"
"2018-07-22 00:00:00-04:00","44.71","45.56","45.73","44.29","24.35M","-2.14%"
"2018-07-15 00:00:00-04:00","45.69","47.28","47.28","45.44","23.77M","-3.18%"
"2018-07-08 00:00:00-04:00","47.19","48.56","49.51","46.64","22.34M","-2.56%"
"2018-07-01 00:00:00-04:00","48.43","49.03","49.33","47.80","18.81M","-1.70%"
